thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,dotlife,SR_conf,RTrating,interval,interTrial.interval,scale,start_conf,subject,age,gender,handedness,
,,2,Main,32,1.2586933000002318,down,1,270,down,0.1095891782908514,,0.64,0.7549496999999974,2.5532403649989055,1.1511745566847769,conf,0.5,1000,1000,1000,1000,
,,2,Main,33,1.3141609000003882,up,1,90,up,0.14025935742367593,,0.76,0.9106000000001586,2.470103653514809,2.0722392371330782,conf,0.5,1000,1000,1000,1000,
,,2,Main,34,1.044522500000312,up,1,90,up,0.14025935742367593,,0.79,2.575557899999694,2.6537672769412306,3.7916139844613097,conf,0.5,1000,1000,1000,1000,
,,2,Main,35,0.975557700000536,up,1,90,up,0.1669307401720554,,1.0,1.414910499999678,2.6453080943422385,1.986941091648575,conf,0.5,1000,1000,1000,1000,
,,2,Main,36,0.975557700000536,[],0,270,down,0.1095891782908514,,None,None,None,3.9131966191601064,None,None,1000,1000,1000,1000,
,,2,Main,37,1.6861679999992703,down,1,270,down,0.1669307401720554,,None,None,4.978167293142497,3.266145775390388,conf,0.5,1000,1000,1000,1000,
,,2,Main,38,1.2689896000001681,up,1,90,up,0.14025935742367593,,0.86,1.0479405999994924,3.622136442474683,2.8557009846612518,conf,0.5,1000,1000,1000,1000,
,,2,Main,39,1.6445639000003212,up,0,270,down,0.1095891782908514,,0.84,2.0861042999995334,4.193924189044655,1.3307924222661422,conf,0.5,1000,1000,1000,1000,
,,2,Main,40,0.8175019999998767,up,1,90,up,0.1669307401720554,,None,None,2.540410479610193,2.791300986390016,conf,0.5,1000,1000,1000,1000,
,,2,Main,41,1.0745368999996572,up,0,270,down,0.0535757361011939,,0.91,2.033805599999141,3.0578440045352977,2.0933214724153486,conf,0.5,1000,1000,1000,1000,
,,2,Main,42,0.9061638000002858,up,1,90,up,0.14025935742367593,,0.98,1.195076799999697,2.728475969064602,1.259481970969675,conf,0.5,1000,1000,1000,1000,
,,2,Main,43,1.2230962000003274,up,0,270,down,0.14025935742367593,,0.77,1.4830364999997983,2.0912679893632644,1.9279989328521432,conf,0.5,1000,1000,1000,1000,
,,2,Main,44,0.6212734000000637,down,1,270,down,0.25724432084879284,,0.63,1.0882890999992014,4.769818097344879,3.7473630130165034,conf,0.5,1000,1000,1000,1000,
,,2,Main,45,0.8203890000004321,up,1,90,up,0.1095891782908514,,0.69,0.7603036000000429,3.595015196451831,1.9859927312470056,conf,0.5,1000,1000,1000,1000,
,,2,Main,46,1.0625439999994342,up,1,90,up,0.1669307401720554,,1,1.250751499999751,2.012169264206624,3.0053459888950633,conf,0.5,1000,1000,1000,1000,
,,2,Main,47,1.0463294000001042,up,1,90,up,0.1669307401720554,,0.96,1.7502874000001611,2.330249869420988,3.1058957507989566,conf,0.5,1000,1000,1000,1000,
,,2,Main,48,0.844282099999873,down,1,270,down,0.25724432084879284,,0.69,0.7021097999995618,4.343887061962275,1.8339126625418811,conf,0.5,1000,1000,1000,1000,
,,2,Main,49,1.1665726999999606,down,1,270,down,0.14025935742367593,,0.66,0.7950117999998838,2.673034631909474,2.055974127888953,conf,0.5,1000,1000,1000,1000,
,,2,Main,50,1.1665726999999606,[],0,90,up,0.14025935742367593,,None,None,None,3.3300282377542634,None,None,1000,1000,1000,1000,
,,2,Main,51,0.9673141000002943,up,1,90,up,0.14025935742367593,,0.9,1.2378323000002638,3.631117338092409,2.0468480952297434,conf,0.5,1000,1000,1000,1000,
,,2,Main,52,0.7692551000000094,down,1,270,down,0.0535757361011939,,1,1.2034057999999277,2.700626583515336,3.6619855200381095,conf,0.5,1000,1000,1000,1000,
,,2,Main,53,1.7052995999993072,up,1,90,up,0.1095891782908514,,0.9,0.9896680000001652,3.6994060728218017,2.32463434588945,conf,0.5,1000,1000,1000,1000,
,,3,Main,0,0.6825632000000041,up,1,90,up,0.1669307401720554,,1,1.407185799999752,4.8287263376954375,2.8308622399029515,conf,0.5,1000,1000,1000,1000,
,,3,Main,1,1.1040885000002163,up,0,270,down,0.0535757361011939,,0.63,0.8912663000000975,2.6471371174003027,1.4318682838875718,conf,0.5,1000,1000,1000,1000,
,,3,Main,2,0.8672034999999596,up,1,90,up,0.14025935742367593,,1,0.9023590000006152,4.616181217887388,3.3216826726761477,conf,0.5,1000,1000,1000,1000,
,,3,Main,3,0.963801599999897,up,0,270,down,0.1669307401720554,,0.3,0.8069998000000851,2.040154923713793,2.330606560531194,conf,0.5,1000,1000,1000,1000,
,,3,Main,4,0.7023042000000714,up,1,90,up,0.25724432084879284,,0.77,2.093078400000195,4.845463403270144,2.7420636549285593,conf,0.5,1000,1000,1000,1000,
,,3,Main,5,0.7738071000003401,down,1,270,down,0.14025935742367593,,0.7,1.323415699999714,4.6365946039016555,2.4993637789239656,conf,0.5,1000,1000,1000,1000,
,,3,Main,6,1.2168573999997534,down,1,270,down,0.1095891782908514,,0.79,1.5094035000001895,3.509043574821177,2.707183714290298,conf,0.5,1000,1000,1000,1000,
,,3,Main,7,0.7931926999999632,up,1,90,up,0.1095891782908514,,0.91,2.2773299999998926,4.069335658166718,1.9171400978376356,conf,0.5,1000,1000,1000,1000,
,,3,Main,8,1.1319359999997687,down,1,270,down,0.14025935742367593,,0.87,1.126825700000154,3.055545088499939,2.3358507658489187,conf,0.5,1000,1000,1000,1000,
,,3,Main,9,1.5145504000001893,up,0,270,down,0.14025935742367593,,1.0,1.9973911999995835,2.1009059640028114,1.823432074316985,conf,0.5,1000,1000,1000,1000,
,,3,Main,10,1.2427946999996493,down,1,270,down,0.14025935742367593,,0.61,0.7253276999999798,3.4840080976745265,2.437442919570067,conf,0.5,1000,1000,1000,1000,
