thisRow.t,notes,block,Trialtype,withinblocktrial,resp,cor,dots direction,cor_resp,coherence,RTdec,dotlife,SR_conf,interval,interTrial.interval,scale,start_conf,RTrating,sub,age,gender,handedness,
,,2,Main,0,up,1,90,up,0.31666666666666665,1.271213899999566,3.18500028912677,0.58,3.032207960032652,2.0141215384610662,conf,0.25996499390959166,1.7541617000006227,14,7,7,,
,,2,Main,1,up,0,270,down,0.058333333333333334,1.3050125999998272,3.18500028912677,0.68,2.522755923914051,2.8536715176791088,conf,0.7041428806900785,1.7331237999987934,14,7,7,,
,,2,Main,2,up,0,270,down,0.16666666666666666,1.848571799999263,3.18500028912677,0.33,2.799861063949545,2.5885031322601972,conf,0.3483535613971756,0.8993448999990505,14,7,7,,
,,2,Main,3,down,1,270,down,0.24166666666666667,1.0948367999990296,3.18500028912677,0.82,2.6022725846737336,2.840648990775825,conf,0.6962629114916677,1.3771864000009373,14,7,7,,
,,2,Main,4,up,1,90,up,0.6166666666666667,1.1937887999993109,3.18500028912677,1,4.3389643134090035,2.5233385501490537,conf,0.5972282425498986,0.5224742999998853,14,7,7,,
,,2,Main,5,up,1,90,up,0.16666666666666666,1.396033000000898,3.18500028912677,0.9,3.2452862588738265,3.0884728507921846,conf,0.7115589674597865,1.1503926000004867,14,7,7,,
,,2,Main,6,up,1,90,up,0.058333333333333334,1.515259199999491,3.18500028912677,0.38,3.066378276619336,2.6810831799852908,conf,0.4001770508815355,1.2477928000007523,14,7,7,,
,,2,Main,7,up,1,90,up,0.16666666666666666,1.8333707000001596,3.18500028912677,0.63,3.6263978830587433,2.8896390393507634,conf,0.4096773888615158,1.189139800000703,14,7,7,,
,,2,Main,8,up,0,270,down,0.24166666666666667,1.5623844000001554,3.18500028912677,0.76,4.723618390570593,3.156262449130761,conf,0.6354397749364211,0.5894296000005852,14,7,7,,
,,2,Main,9,down,1,270,down,0.31666666666666665,1.1949536000010994,3.18500028912677,0.85,3.9905832990155288,2.880966084349198,conf,0.5673146873468402,0.7057531999998901,14,7,7,,
,,2,Main,10,down,1,270,down,0.6166666666666667,0.9856328000005306,3.18500028912677,1.0,3.479346673178211,3.1224335776370267,conf,0.703700441588764,0.5244798999992781,14,7,7,,
,,2,Main,11,up,1,90,up,0.24166666666666667,1.328961299999719,3.18500028912677,0.77,4.805742683330442,3.06911813781723,conf,0.5718006390137378,0.9618340000015451,14,7,7,,
,,2,Main,12,down,1,270,down,0.31666666666666665,1.663167800001247,3.18500028912677,0.6,2.1347100831522132,2.2099589951631837,conf,0.5249819306263066,0.6498056000000361,14,7,7,,
,,2,Main,13,up,1,90,up,0.24166666666666667,1.252145999998902,3.18500028912677,0.57,4.80492969977603,3.0922932786273774,conf,0.711642589164964,0.9490879999993922,14,7,7,,
,,2,Main,14,up,1,90,up,0.24166666666666667,1.2118503999990935,3.18500028912677,0.73,3.2592146448555552,2.901012209429046,conf,0.5858847712018636,0.6187117000008584,14,7,7,,
,,2,Main,15,[],0,270,down,0.16666666666666666,1.2118503999990935,3.18500028912677,None,None,2.8217503180677883,None,0.5858847712018636,None,14,7,7,,
,,2,Main,16,up,1,90,up,0.31666666666666665,1.0274066999991192,3.18500028912677,0.98,4.650645334148357,2.4183655919740916,conf,0.4809510972821245,1.5622487999989971,14,7,7,,
,,2,Main,17,down,1,270,down,0.24166666666666667,1.4152905000009923,3.18500028912677,0.52,4.931758975133778,3.108632940751225,conf,0.5161532509383064,0.9679847999996127,14,7,7,,
,,2,Main,18,up,0,270,down,0.16666666666666666,1.094735300001048,3.18500028912677,0.63,3.964311198930168,2.633178994829637,conf,0.40887433944720825,0.916015899998456,14,7,7,,
,,2,Main,19,down,1,270,down,0.24166666666666667,0.7980250000000524,3.18500028912677,0.63,4.753294881899889,2.517397172978244,conf,0.3253289319287629,0.6823385000006965,14,7,7,,
,,2,Main,20,up,1,90,up,0.24166666666666667,0.9817026000000624,3.18500028912677,0.91,2.613262284457469,3.1899455881349583,conf,0.5543562940488712,0.4371439000005921,14,7,7,,
,,2,Main,21,up,0,270,down,0.058333333333333334,1.5447170000006736,3.18500028912677,0.54,2.5198641046859986,2.948241299077914,conf,0.7399419637289189,1.7226501000004646,14,7,7,,
,,2,Main,22,up,0,270,down,0.24166666666666667,1.4704636000005848,3.18500028912677,0.56,3.0177852891175063,2.8188587778149845,conf,0.28087624621409296,0.9853322000017215,14,7,7,,
,,2,Main,23,up,1,90,up,0.16666666666666666,1.0828422999984468,3.18500028912677,0.61,4.10045254140449,2.454241510518355,conf,0.4673852662372684,0.6493257000001904,14,7,7,,
,,2,Main,24,up,1,90,up,0.24166666666666667,0.9967546000007133,3.18500028912677,0.47,3.0882537425005623,2.367823209221752,conf,0.2518058395082576,0.8765115000005608,14,7,7,,
,,2,Main,25,up,0,270,down,0.31666666666666665,1.049051199999667,3.18500028912677,0.61,2.6376680320787997,2.3689592769770242,conf,0.4487824399977615,0.891630799998893,14,7,7,,
,,2,Main,26,down,1,270,down,0.24166666666666667,1.380209200000536,3.18500028912677,0.7,3.637757388518694,2.778880380645052,conf,0.42476433925413487,0.7932820999994874,14,7,7,,
,,2,Main,27,down,1,270,down,0.6166666666666667,1.1039947000008397,3.18500028912677,0.95,2.375128876826539,2.9344628739763983,conf,0.6254836783508684,0.6474753000002238,14,7,7,,
,,2,Main,28,down,0,90,up,0.24166666666666667,1.3317553000015323,3.18500028912677,0.46,3.6336946890672888,2.739850121770845,conf,0.6156091614588433,1.2659242999998241,14,7,7,,
,,2,Main,29,down,0,90,up,0.31666666666666665,1.112394800000402,3.18500028912677,0.6,4.27573842985476,2.308600335905312,conf,0.5187596300643467,0.7383539000002202,14,7,7,,
,,2,Main,30,up,1,90,up,0.31666666666666665,1.3934234000007564,3.18500028912677,0.76,4.047229054526286,2.9144125151639275,conf,0.6005051258513661,0.5509549999987939,14,7,7,,
,,2,Main,31,down,1,270,down,0.16666666666666666,1.2984106000003521,3.18500028912677,0.72,2.998738977323259,2.8655794781245545,conf,0.3615498483607496,0.7323778000009042,14,7,7,,
,,2,Main,32,up,1,90,up,0.6166666666666667,0.8344301999986783,3.18500028912677,1,2.2993748452994733,2.5897569624031958,conf,0.2667787356360314,0.6848217999995541,14,7,7,,
,,2,Main,33,down,0,90,up,0.16666666666666666,1.47751099999914,3.18500028912677,0.62,2.994711956407872,2.5571311096061886,conf,0.3792379243876071,0.6493819999996049,14,7,7,,
,,2,Main,34,down,1,270,down,0.31666666666666665,1.1273758000006637,3.18500028912677,1,2.4727209089908224,2.4565088916715467,conf,0.34068031038166596,0.6534058000015648,14,7,7,,
,,2,Main,35,down,0,90,up,0.058333333333333334,1.4272653999996692,3.18500028912677,0.7,4.673738470806295,2.6657441589909956,conf,0.4420430433693795,1.0536610999988625,14,7,7,,
,,3,Main,0,up,1,90,up,0.31666666666666665,0.7884797999995499,3.18500028912677,0.8,4.774138856717275,2.7069287794539254,conf,0.5999891696781531,0.5663460999985546,14,7,7,,
,,3,Main,1,down,1,270,down,0.16666666666666666,0.7119565000011789,3.18500028912677,0.71,4.1023100084883195,2.8100694853140182,conf,0.5491867507922371,0.5965782000002946,14,7,7,,
,,3,Main,2,down,1,270,down,0.6166666666666667,0.685458900001322,3.18500028912677,0.72,4.5325454864567805,3.0311176309325623,conf,0.3416646653715545,0.6579837999997835,14,7,7,,
